time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-18T03:25:43.900Z,11.8246,143.361,10,5.2,mww,,52,2.289,0.72,us,us6000hlxe,2022-05-20T03:35:50.274Z,"213 km SW of Merizo Village, Guam",earthquake,9.2,1.8,0.078,16,reviewed,us,us
2022-05-18T02:09:41.437Z,-6.8381,125.0425,536.87,4.4,mb,,56,2.998,0.62,us,us6000hlx7,2022-05-18T02:24:43.040Z,"196 km N of Likisá, Timor Leste",earthquake,11.9,9.7,0.12,20,reviewed,us,us
2022-05-18T02:07:45.410Z,19.3351666666667,-155.190833333333,6.02,2.81,ml,48,81,,0.12,hv,hv73015697,2022-05-18T02:24:54.530Z,"12 km SSE of Volcano, Hawaii",earthquake,0.26,0.47,0.209468284949999,38,reviewed,hv,hv
2022-05-18T02:04:06.984Z,41.4791,-125.9302,10.43,2.5,ml,,248,1.578,0.7,us,us6000hlx4,2022-05-18T02:47:24.040Z,"147 km WSW of Crescent City, California",earthquake,7.9,10.1,0.049,54,reviewed,us,us
2022-05-18T01:43:06.052Z,31.64380688,-104.3865547,7.494091797,3,ml,18,74,0.100501562,0.2,tx,tx2022jqli,2022-05-18T23:33:44.367Z,"58 km S of Whites City, New Mexico",earthquake,1.486743664,2.415450156,0.2,15,reviewed,tx,tx
2022-05-18T01:38:36.406Z,12.3941,123.5664,10,4.6,mb,,109,13.372,0.62,us,us6000hlx9,2022-05-18T02:34:51.040Z,"1 km S of Bulo, Philippines",earthquake,11.6,1.9,0.062,77,reviewed,us,us
2022-05-18T00:47:41.274Z,16.7149,-91.2193,10,4.4,mb,,80,0.825,1.12,us,us6000hlwq,2022-05-18T01:22:13.040Z,"12 km SSE of Nueva Palestina, Mexico",earthquake,6.3,1.9,0.042,164,reviewed,us,us
2022-05-18T00:44:00.330Z,17.9255,-66.9523333333333,10.62,2.58,md,21,221,,0.11,pr,pr71349213,2022-05-18T01:08:05.560Z,"6 km SW of Guánica, Puerto Rico",earthquake,0.46,0.32,0.0846008979336836,12,reviewed,pr,pr
2022-05-18T00:31:48.887Z,62.2562,-150.6189,7.7,2.8,ml,,,,1.11,ak,ak0226c8cn2o,2022-05-18T01:00:52.040Z,"21 km WSW of Trapper Creek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-17T23:50:01.890Z,21.2861,98.5374,10,4.4,mb,,65,0.981,0.69,us,us6000hlwe,2022-05-19T22:30:40.232Z,"148 km WSW of Kēng Tung, Myanmar",earthquake,4.3,1.9,0.138,15,reviewed,us,us
2022-05-17T23:36:48.896Z,38.1172,-118.0979,11,2.5,ml,20,44.67,0.111,0.1242,nn,nn00839060,2022-05-18T02:39:35.655Z,"30 km S of Mina, Nevada",earthquake,,1.2,0.33,11,reviewed,nn,nn
2022-05-17T22:56:21.926Z,31.6919,50.4429,10,4.3,mb,,93,5.712,0.85,us,us6000hlw7,2022-05-18T00:07:23.040Z,"63 km S of Fārsān, Iran",earthquake,11.2,1.9,0.097,30,reviewed,us,us
2022-05-17T22:49:55.125Z,21.3751,98.5302,10,4.2,mb,,71,0.991,0.43,us,us6000hlw6,2022-05-17T23:56:31.040Z,"147 km WSW of Kēng Tung, Myanmar",earthquake,6.5,1.9,0.236,5,reviewed,us,us
2022-05-17T22:15:53.100Z,86.6293,64.0515,10,4.2,mb,,94,9.455,0.73,us,us6000hlw2,2022-05-17T23:33:50.040Z,"north of Franz Josef Land",earthquake,11,1.9,0.08,44,reviewed,us,us
2022-05-17T21:35:11.812Z,30.0825,56.6222,10,4.2,mb,,88,5.13,0.77,us,us6000hlvp,2022-05-18T03:39:34.243Z,"18 km NNE of Bardsīr, Iran",earthquake,10.1,1.9,0.092,33,reviewed,us,us
2022-05-17T21:26:20.037Z,-8.5107,128.2466,10,5,mb,,61,4.119,1.1,us,us6000hlvk,2022-05-17T22:15:02.040Z,"137 km E of Lospalos, Timor Leste",earthquake,4.7,1.8,0.061,86,reviewed,us,us
2022-05-17T21:25:06.020Z,19.0655,-65.992,37.04,2.98,md,11,257,,0.25,pr,pr71349178,2022-05-19T14:42:35.774Z,"67 km N of San Juan, Puerto Rico",earthquake,1.44,7.32,0.045459289380287,7,reviewed,pr,pr
2022-05-17T21:17:18.626Z,41.0054,143.061,27.59,5.2,mww,,62,1.011,0.7,us,us6000hlvf,2022-05-17T22:06:12.965Z,"143 km ENE of Hachinohe, Japan",earthquake,7.1,3.9,0.089,12,reviewed,us,us
2022-05-17T20:21:41.762Z,-57.7221,-25.6775,60.28,4.6,mb,,69,6.971,0.53,us,us6000hlv6,2022-05-17T21:08:42.040Z,"South Sandwich Islands region",earthquake,10.8,7.6,0.103,34,reviewed,us,us
2022-05-17T20:17:59.668Z,-22.7803,-66.3488,260.53,4.1,mb,,123,1.696,0.75,us,us6000hlv5,2022-05-17T20:55:20.040Z,"67 km W of Abra Pampa, Argentina",earthquake,13.9,21.3,0.369,2,reviewed,us,us
2022-05-17T18:47:29.303Z,55.3997,-155.3386,29.6,2.8,ml,,,,1.19,ak,ak0226avmj83,2022-05-18T13:48:50.040Z,"186 km SSW of Akhiok, Alaska",earthquake,,12.8,,,reviewed,ak,ak
2022-05-17T16:17:42.110Z,62.4025,-149.5872,25.2,2.8,ml,,,,0.67,ak,ak0226au97rm,2022-05-17T16:50:37.040Z,"27 km ESE of Chase, Alaska",earthquake,,0.4,,,automatic,ak,ak
